Region,Location,Items required,ID,Vanilla Item,Notes
Loner's Landing Blighted Docks Fences Bottom,LL Blighted Docks Tall Room Chest,Burrow,29,Bonestone Dust,Surrounded by fences
Loner's Landing Blighted Docks Side Cave,LL Blighted Docks Side Cave Chest,,28,Bonestone Dust,Platforming sideroom with owl
Loner's Landing Blighted Docks Bridge,LL Blighted Docks Bridge Chest,"Bounce, Climb",31,Bonestone Dust,Bounce blossom to right of pit rope
Loner's Landing Blighted Docks Residence,LL Blighted Docks Residence Chest,Burrow,26,Bonestone Flakes,"Breakable door to left of pit rope, room w/ 3 mercs"
Loner's Landing Blighted Docks Burrow,LL Blighted Docks Burrow Residence Bubble,Burrow,23,Kear,Inside burrow hole at first Kear lock
Loner's Landing Boardwalk Fire Bounce,LL Boardwalk Fire Bounce Chest,Bounce,27,Kear,Bounce blossom sideroom with fire
Loner's Landing Boardwalk Sandfalls Ledge,LL Boardwalk Sandfalls Ledge Chest,Bounce,324,Bonestone Flakes,On a ledge from rightmost bounce blossom in Boardwalk 2
Loner's Landing Boat Side,LL Shipwreck Beach Trigger Antennae,"Fishing Rod, Burrow",32,Trigger Antennae,Fish up south of Bayou Station
Loner's Landing Belowdecks,LL Belowdecks Unchosen Weapon #1,"Kear x4, Burrow",17,Unchosen Weapon #1,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, bring down past Bayou Station, burrow under ship and grab weapon behind 2 Kear locks"
Loner's Landing Belowdecks,LL Belowdecks Unchosen Weapon #2,"Kear x4, Burrow",18,Unchosen Weapon #2,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, bring down past Bayou Station, burrow under ship and grab weapon behind 2 Kear locks"
Loner's Landing Belowdecks,LL Belowdecks Chest,CanJumpTiles(distance=2),30,Bonestone Flakes,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, bring down past Bayou Station, burrow under ship and grab chest"
Ossex Entry Western Wall Chest,SO Commons Ossex Entry Left Chest,,270,Kear,On ledge accessible from room in Upper Bowery in Ossex
Ossex Entry Eastern Wall Chest,SO Commons Ossex Entry Right Chest,,266,Bonestone Shard,"On ledge accessible from room to right, use Furl from bottom right of Ossex High Street"
Southern Outskirts Commons Main,SO Commons Chest,"Burrow, Float",264,Bonestone Flakes,On ledge reachable with bounce blossom after defeating Thorne
Southern Outskirts Commons Main,SO Commons Crumblefin Head,"Burrow, Float, Fishing Rod",274,Crumblefin Head,"In front of Mining Path entrance with Hulk, fish up Crumblefin and throw it at a wall"
Southern Outskirts Cave Network Deep Exit,SO Cave Network Chest,,265,Joule Box,"On right ledge in Side Room, use bounce blossom"
Southern Outskirts Cave Deep Arena,SO Cave Network Side Room Chest,,268,Bonestone Shard,"On left ledge, use bounce blossom"
Southern Outskirts Poppit,SO Poppit Keri,,272,Keri the Wisp,"After Cave Network, bounce up to leftmost ledge using bounce blossom, then burrow in south wall, purchase for 500 Bones"
Southern Outskirts Poppit,SO Poppit Kear,,273,Kear,"After Cave Network, bounce up to leftmost ledge using bounce blossom, then burrow in south wall, Purchase for 200 Bones"
Southern Outskirts Commons Southern Pit Room Main,SO Southern Pit Room Bonestone,5 tiles of air movement,261,Bonestone Shard,"Dash down towards a large pit and land on a small platform, dig up Bonestone in bottom right"
Southern Outskirts Commons Western Pit Room Main,SO Western Pit Room Chest,,267,Bonestone Flakes,"Loop around from the south of Ossex and to the west, hop over gaps and break chest"
Southern Outskirts Residence Basement,SO Residence Primed Vial Pouch,,269,Primed Vial Pouch,"Inside Thorne's old hideout, go west from Ossex Entry, make counterclockwise rotation from 3 tile pit"
Southern Outskirts Mining Passage Secret,SO Mining Passage Chest,,331,Kear,"Under an arch you must burrow under, located to the far left of the final gate switch in the passage"
Southern Outskirts Moonbath,SO Moonbath Dugin #1,,,,"After clearing 1 Spark Generator, defeat the Dugin"
Southern Outskirts Moonbath,SO Moonbath Lace Glove,,263,Lace Glove,"After clearing 2 Spark Generators, defeat the Dugin a 2nd time and grab the Lace Glove"
Southern Outskirts Moonbath,SO Moonbath Dugin #2,,N/A,N/A,"After clearing 2 Spark Generators, defeat the Dugin a 2nd time"
Southern Outskirts Four Flowers Shortcut,SO Four Flowers Chest,"Burrow, Bounce",271,Bonestone Crystal,"After exiting Mining Passage, take northwest exit, then bounce on 4 flower to hop over debris and get chest"
Ossex City Center Main,OS City Center Steady Soles,"Kear, Burrow",162,Steady Soles,"Drop down from overhang to the left of Ossex Ossex, go through Attic and into top left stairs"
Ossex City Center Main,OS City Center Triple Flagellum,Fishing Rod,220,Triple Flagellum,Fish up Flag Fish from either puddles or the river
Ossex City Center Main,OS City Center 2nd Race Kear,Burrow,243,Kear,Win 2 of Blaise's races to Ossex City Central fountain
Ossex City Center Main,OS City Center Final Race Bellows Bustle,"Burrow, Carry, Float",322,Bellows Bustle,Win all of Blaise's races to Ossex City Central fountain
Ossex City Center Main,OS City Center ???????,,,N/A,Defeat ???????
Ossex Courtyard East,OS Courtyard East Deboning Wand,,161,Deboning Wand,Get loan from Elizabeth and give back 1000 bones
Ossex Courtyard West Chest,OS Courtyard West Weapon Upgrade,5 Vials,163,Weapon Upgrade,Take path from West Ossex beneath train and open 5 vial block next to Lion Guard
Ossex Courtyard East Manor Side,OS Courtyard Garden Warding Beastium,,171,Warding Beastium,"Make large leap over gap, then grab the Trinket"
Ossex Goddred's Grave Arena,OS Evra's Grave Evra,,,N/A,"Descend into Goddred's Grave, awake Evra, then defeat her"
Ossex Goddred's Grave End,OS Evra's Rest Health Rose,,352,Health Rose,"Descend into Goddred's Grave, awake Evra, then defeat her, grab the Health Rose in the next room"
Ossex Couple's Quarter,OS Couple's Quarter Chest,Burrow,165,Bonestone Flakes,"Door left of fountain, burrow off right ledge inside"
Ossex Couple's Quarter,OS Couple's Quarter Thermal Pack,Burrow,147,Thermal Pack,"After rescuing the Fiance from Bone Beach Calcified Cage, return here and grab the Trinket"
Ossex Guild Back Room,OS Hollower's Guild Back Room Kear Chest,,168,Kear,Enter back room of Hollower's Guild after beating Thorne
,OS Hollower's Guild Back Room Joule Alembic,,210,Joule Alembic,"Save Rhene from Southern Outskirts Rebel Barracks, free Drillhardt, purchase upgrade for 1000 Bones"
,OS Hollower's Guild Back Room Isle Map,,211,Isle Map,"Save Rhene from Southern Outskirts Rebel Barracks, free Drillhardt, purchase upgrade for 500 Bones"
,OS Hollower's Guild Back Room Sidearm Recoverer,,215,Sidearm Recoverer,"Save Rhene from Southern Outskirts Rebel Barracks, free Drillhardt, purchase upgrade for 2000 Bones"
,OS Hollower's Guild Back Room Training Dummy,,218,Training Dummy,"Save Rhene from Southern Outskirts Rebel Barracks, free Drillhardt, purchase upgrade for 500 Bones"
,OS Hollower's Guild Back Room Sidearm Duplicator,,214,Sidearm Duplicator,"Save Rhene from Southern Outskirts Rebel Barracks, free Drillhardt, clear 2 Spark Generators, purchase upgrade for 2000 Bones"
,OS Hollower's Guild Back Room Memory Goggles,,217,Memory Goggles,"Save Rhene from Southern Outskirts Rebel Barracks, free Drillhardt, clear 2 Spark Generators, purchase upgrade for 2000 Bones"
,OS Hollower's Guild Back Room Phonograph,,216,Phonograph,"Save Rhene from Southern Outskirts Rebel Barracks, free Drillhardt, clear 2 Spark Generators, purchase upgrade for 500 Bones"
,OS Hollower's Guild Back Room Enhanced Map,,212,Enhanced Map,"Save Rhene from Southern Outskirts Rebel Barracks, free Drillhardt, clear 3(?) Spark Generators, purchase upgrade for 500 Bones"
,OS Hollower's Guild Back Room All-Seeing Skull,,213,All-Seeing Skull,"Save Rhene from Southern Outskirts Rebel Barracks, free Drillhardt, clear 5 Spark Generators, purchase upgrade for 4000 Bones"
,OS Hollower's Guild Back Room Smack Muriel,Blastrike Maul x3,146,Bonestone Flakes,"With fully upgraded Blastrike Maul, perform a full combo on Muriel"
Ossex Kear Institute,OS Kear Institute Kear #1,,199,Kear,Purchase Kear from Kearnes
,OS Kear Institute Kear #2,,200,Kear,Purchase Kear from Kearnes
,OS Kear Institute Kear #3,,201,Kear,Purchase Kear from Kearnes
,OS Kear Institute Kear #4,,202,Kear,Purchase Kear from Kearnes
,OS Kear Institute Kear #5,,203,Kear,Purchase Kear from Kearnes
,OS Kear Institute Kear #6,,204,Kear,Purchase Kear from Kearnes
,OS Kear Institute Kear #7,,205,Kear,Purchase Kear from Kearnes
,OS Kear Institute Kear #8,,206,Kear,Purchase Kear from Kearnes
,OS Kear Institute Kear #9,,207,Kear,Purchase Kear from Kearnes
,OS Kear Institute Kear Completion,All Kears+ All Kear Locks,150,Bonestone Chunk,Sell 10 extra Kears to Freeton
Ossex Emporium,OS Emporium Health Rose #1,,186,Health Rose,Purchase for 500 Bones
,OS Emporium Health Rose #2,,187,Health Rose,Purchase for 1000 Bones
,OS Emporium Health Rose #3,,188,Health Rose,Purchase for 1500 Bones
,OS Emporium Joule Box #1,,193,Joule Box,Purchase for 500 Bones
,OS Emporium Joule Box #2,,194,Joule Box,Purchase for 2000 Bones
,OS Emporium Joule Box #3,,195,Joule Box,Purchase for 4000 Bones
,OS Emporium Trinket Bag #1,,196,Trinket Bag,Purchase for 1500 Bones
,OS Emporium Trinket Bag #2,,197,Trinket Bag,Purchase for 3000 Bones
,OS Emporium Trinket Bag #3,,198,Trinket Bag,Purchase for 4500 Bones
,OS Emporium Vial Pouch #1,,189,Vial Pouch,Purchase for 1000 Bones
,OS Emporium Vial Pouch #2,,190,Vial Pouch,Purchase for 2500 Bones
,OS Emporium Vial Pouch #3,,191,Vial Pouch,Purchase for 3000 Bones
,OS Emporium Spark Container,,192,Spark Container,Purchase for 1500 Bones
Ossex Legovich's Arms,OS Legovich's Arms Starting Weapon Upgrade,,174,Starting Weapon Upgrade,"Purchase for 2000 Bones, +500 per other purchased item"
,OS Legovich's Arms Unchosen Weapon #1,,175,Unchosen Starting Weapon #1,"Purchase for 2000 Bones, +500 per other purchased item"
,OS Legovich's Arms Unchosen Weapon #2,,176,Unchosen Starting Weapon #2,"Purchase for 2000 Bones, +500 per other purchased item"
,OS Legovich's Arms Guardian Casket,,178,Guardian Casket,"Purchase for 2000 Bones, +500 per other purchased item"
,OS Legovich's Arms Battery Buster,,177,Battery Buster,"Purchase for 2000 Bones, +500 per other purchased item"
,OS Defeat Armond,Burrow,N/A,N/A,"After purchasing 2 weapons, burrow into hole and defeat Armand"
Ossex Gutterways,OS Gutterways Bonestone,"2 Sparks, Iron Steed, Burrow",172,Bonestone Shard,"Use 2 Sparks to open bottom left house, use Iron Steed to race through and get Bonestone"
Ossex High Street Main,OS High Street Valor Medallion,"Kear, Burrow, Carry/Throw",154,Valor Medallion,"Use Furl's nose to cross gap between High Streets and Center, grab flower pot on top of Kear shop, throw pot at Furl on left side of bottom right of High Streets"
Ossex High Street Sewer,OS High Street Sewer Chest,"Kear, Burrow, Carry/Throw",164,Bonestone Flakes,Use Furl's nose in the bottom left of bottom right of High Streets to jump onto floating barrel and burrow into sewers
Ossex Strategy Center,OS Strategy Center Chest,"Reaching Sidearm, Burrow",167,Bonestone Flakes,"Hit Chest from across table with one of many Sidearms, then burrow under"
,OS Strategy Center Ophidio Bonestone,"W&V Lunge, Burrow",153,Bonestone Shard,Hit Ophidio from behind with Whisper and Vesper's Lunge upgrade
Ossex Balcony East,OS Ossex Telescope Kear,Kear,155,Kear,Look in the top right of the telescope view
Ossex High Street Residence Upper Puzzle,OS Attic Chest,,166,Bonestone Dust,Jump into chimney from Ossex Ossex ledge
Ossex Atelier,OS Atelier Chest,"3 tiles of air movement, Burrow",169,Bonestone Flakes,Burrow into bottom right and cross the gap in side room
,OS Atelier Vitality Vest,,208,Vitality Vest,Purchase for 3000 Bones
,OS Atelier Custom Fit,"Vitality Vest, Safety Shroud",209,Custom Fit,Purchase for 2000 Bones
Ossex Bowery Main,OS Bowery Double Sidearm Permit,5? Sidearm Levels,219,Double Sidearm Permit,"After Leveling Up Sidearm ? times, purchase for 2000 Bones"
Ossex Bowery Upper,OS Bowery Upper Chest,"Burrow, Reaching Sidearm/Seismic Belt/Beastium Transformation",173,Bonestone Flakes,"After opening the bridge in Occupied Bridge from Molten Foundry, break chest with a Sidearm/Seismic Belt/Beastium Transformation and burrow"
Ossex Bowery Tall Residence Upper Main,OS Bowery New House Bonestone,Burrow,159,Bonestone Dust,Speak with Lindy by entering the bridge door in Bowery
Ossex Bowery Tall Residence Upper Top Entrance,Ossex Bowery Residence Kear,Burrow,156,Kear,Give the homeless Bones and then talk to east lady for a Kear
Ossex Music Hall,OS Music Hall Chest,Burrow,170,Bonestone Flakes,"Burrow underneath NPC walking into Music Hall to sneak in, grab chest behind bar"
,OS Music Hall Pneumatic Armlet,"Burrow, Climb, Carry",148,Pneumatic Armlet,"After giving the Shanty Troupe 100 Bones, return to Music Hall and fight Willy to get Pneumatic Armlet"
,OS Music Hall Willy,"Burrow, Climb, Carry",N/A,N/A,"After giving the Shanty Troupe 100 Bones, return to Music Hall and fight Willy"
Ossex Station,OS Station Train Ticket,,149,Train Ticket,"Donate 10,000 Bones to fix the Train"
Ossex Station Underside Main,OS Station Underside Bell of Grace,,158,Bell of Grace,"After getting mugged by Frayd, fix him w/ 1000 Bones"
Ossex Trinket Bazaar,OS Trinket Bazaar Kear,,160,Kear,"Smack Lady Susan's head until it spins rapidly, then burrow into the cellar and speak with the faceless caged man"
,OS Trinket Bazaar Plasma Funnel,,179,Plasma Funnel,Purchase for 700 Bones
,OS Trinket Bazaar Seismic Belt,,180,Seismic Belt,Purchase for 700 Bones
,OS Trinket Bazaar Brisk Brew,,181,Brisk Brew,Purchase for 700 Bones
,OS Trinket Bazaar Intrevenous Vial,,182,Intravenous Vial,Purchase for 1250 Bones
,OS Trinket Bazaar Shock Flint,,183,Shock Flint,Purchase for 1250 Bones
,OS Trinket Bazaar Uranium Bracelet,15 Trinkets,25,Uranium Bracelet,"Acquire 15 Trinkets, then purchase for 2000 Bones"
,OS Trinket Bazaar Bubble Ring,15 Trinkets,184,Bubble Ring,"Acquire 15 Trinkets, then purchase for 1500 Bones"
,OS Trinket Bazaar Counter Vial, ? Trinkets,185,Counter Vial,"Acquire 20 trinkets, then purchase for 2000 Bones"
,OS Trinket Bazaar Lightning Grip,"Save """"""4"""""" Students",334,Lightning Grip,Given by teacher in Kindlewood schoolhouse only if you save ALL 4 students during Carving Man chase sequence. Item will appear in Ossex Trinket Bazaar instead for 2000 Bones after defeating Carving man if you miss any students.
Ossex Train Private Cabin Left,OS Train Private Cabin Chest,"Burrow, 1 Kear",360,Bonestone Shard,"Burrow underneath the closed door with windows, Destroy the adjacent candle and burrow under the passage"
Ossex Train Private Cabin Left,OS Train Private Cabin Safety Shroud,"Burrow, 2 Kear",357,Safety Shroud,"Burrow underneath the closed door with windows, Destroy the adjacent candle and burrow under the passage"
Ossex City Center Main,OS Forgotten Cave Disturbing Dance,Burrow,351,Disturbing Dance,Learn to dance from Grinnsley after cleaning out his 3 shops
Western Wilds Secret Passageway East,WW Secret Passage Chest,3 tiles of air movement,251,Kear,Jump over a 3 tile pit and open chest
Western Wilds Secret Passageway East,WW Secret Passage Joule Box,"Kear, 5 tiles of air movement",248,Joule Box,"Jump over a 3 tile pit, then a 5 tile pit and open Kear box"
Western Wilds Brutes,WW Occupied Bridge Brute Chest,,253,Bonestone Shard,"After clearing path from Molten Foundry, go across bridge and break chest next to 2 Hulk Brutes"
Western Wilds End,WW Occupied Bridge Far Chest,Burrow,250,Bonestone Flakes,"Westmost section, burrow under north wall to get chest"
Western Wilds Brutes,WW Occupied Bridge Dead Leaf,Kill the other leaf,245,Dead Leaf,"After killing the Leaf in Septemburg, return to the same place as the Far Chest and remove Leaf from the grave"
Western Wilds Western Pond,WW Occupied Bridge Cuddlepus Shell,Fishing Rod,259,Cuddlepus Shell,Fish up Cuddlepus from the lava
Western Wilds Foundry Path,WW Occupied Bridge Underneath Chest,Burrow,252,Bonestone Flakes,"Destroy 2 adjacent crystals w/ lava, then enter 1 tile gap under bridge"
Western Wilds Molten Foundry Dark Poppit,WW Molten Foundry Poppit Helio,,256,Helio the Wisp,"In Molten Foundry back room, guide lava path left to break crystals and free Poppit, then purchase for 500 Bones"
Western Wilds Molten Foundry Dark Poppit,WW Molten Foundry Poppit Kear,,257,Kear,"In Molten Foundry back room, guide lava path left to break crystals and free Poppit, then purchase for 200 Bones"
Western Wilds Molten Foundry Dark,WW Molten Foundry Dark Chest,Burrow,255,Bonestone Flakes,Use lava to light up the darkness on the right side to platform safely to the chest
Western Wilds Molten Dungeon End,WW Molten Foundry Flame Guard,,249,Flame Guard,"Unlock Vial and Kear locks, then work through set of rooms until you reach it"
Western Wilds Western Pond,WW Western Pond Glomper Stalk,"Fishing Rod, Burrow",258,Glomper Stalk,Fish up Glomper and kill it
Western Wilds Balcony,WW Balcony Chest,"Kear, Burrow",254,Bonestone Flakes,"Walk under the 2 tile path at the bridge and enter big stairs, platform across and get chest"
,WW Balcony Dummy Cache,"Kear, Burrow, Carry, Climb",242,Dummy Cache,It's that one. The snowball one.
Eastern hearth Grassland,EH Grassland Trinket Bag,,221,Trinket Bag,"After activating the first Spark Generator, go to Ossex's Eastern Exit and defeat Maxi to get a Trinket Bag"
,EH Grassland Maxi,,1018,N/A,"After activating the first Spark Generator, go to Ossex's Eastern Exit and defeat Maxi"
Eastern Hearth Grassland Bridge Right,EH Grassland Dork Eyes,Fishing Rod,241,Dork Eyes,Fish up Pink Eyed Dork at bridge just east of Ossex
Eastern Hearth I Screen,EH Grassland Ossex Patio Chest,Burrow,231,Bonestone Flakes,Burrow down from eastern Ossex exit
Eastern hearth Bush Room,EH Grassland Bush Room Bonestone,Kear,236,Bonestone Shard,Open Kear Block and grab Bonestone
Eastern Hearth Grassland Riverbed Bottom,EH Grassland Riverbed Chest,,233,Bonestone Dust,Burrow jump north from large moving platform room w/ 2 turrets
Eastern Hearth Choppe Shoppe,EH Choppe Shoppe Chain Capacitor,,226,Chain Capacitor,"Open the Choppe Shoppe w/ a Kear, then destroy the car in 30s or less"
Eastern Hearth Hidden Grotto,EH Hidden Grotto Chest,"Kear, Burrow",228,Bonestone Flakes,Unlock Kear block in Eastern hearth Grassland and break the wall to enter the cave. Jump on the switch to access the chest.
Eastern Hearth Grassland Waterfall Second Level,EH Grassland Waterfall Chest,Burrow,234,Bonestone Flakes,Head to southeast of the screen to lower rope and grab Bonestone
Eastern Hearth Grassland Waterfall Second Level,EH Grassland Waterfall Windfall Charm,"Volt Axe OR (Spring Heeled Boots, Kear, Burrow)",223,Windfall Charm,"Using either the Volt Axe or Spring Heeled Boots, hit the kite out of the sky"
Eastern hearth East Corner,EH Grassland Vertical Spinner Room Chest,(Beat  Queensbury Spark Generator),238,Spark Container,"After activating Spark Generator, proceed through stairs until you return to Knight's Stand, take statue head from the north and bring it all the way to MM Statue Room, gates unlock and chest is accessible"
Eastern hearth Under Bridge West,EH Under the Bridge Chest,,230,Kear,"Loop around clockwise to swim under the bridge, defeat the Bone Mimic, then burrow west to get the Kear"
Eastern Hearth Buckler's Bluff Cliff,EH Buckler's Bluff Joule Box,,229,Joule Box,"Using good air movement, make yout way up to the top of the cliff face and break the chest for the Joule Box"
Eastern Hearth Grassland Poppit Cave,EH Grassland Poppit Cave Chest,Burrow,235,Bonestone Dust,"Burrow in the south of the room with several Spinners, chest is right there"
Eastern Hearth Poppit,EH Grassland Poppit Cave Willow,Burrow,239,Willow the Wisp,"Burrow in the south of the room with several Spinners, room to the right has Poppit, purchase for 400 Bones"
Eastern Hearth Poppit,EH Grassland Poppit Cave Kear,,240,Kear,"Burrow in the south of the room with several Spinners, room to the right has Poppit, purchase for 200 Bones"
Eastern hearth Frozen Pass,EH Frozen Pass Chest,"Burrow, Climb",232,Bonestone Shard,"Get to this room from Coltrane Peak's side, break the snowballs and fall throught the cliff"
,EH Frozen Pass IceBlock,Burrow ,237,Smelling Salts,Push the iceblock against a wall to reveal the trinket
Backwaters Upper Swamp Waterfall,BW Upper Shanty Swamp Plasma Jug,,290,Plasma Jug,"Recieve jug from Buffo, kill 50 enemies with it equipped, then return it and defeated enemy frog"
,BW Upper Shanty Swamp Glutton's Jug,Plasma Jug,289,Glutton's Jug,"Empty version of the Plasma Jug, receieved from Buffo. "
Backwaters Upper Swamp Secret Room,BW Upper Swamp Side Room Chest,Swim,296,Bonestone Flakes,"Break bottom left wall in main room, carefully dive into the deep water to reach the chest"
Backwaters Upper Lantern Cave,BW Lantern Cave Bonestone,,287,Bonestone Shard,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, bring back to Shanty Swamp Spark Door, proceed through Dark Room and grab Bonestone at top of room"
,BW Lantern Cave Vial Pouch,,295,Vial Pouch,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, bring back to Shanty Swamp Spark Door, proceed through Dark Room and grab chest"
Backwaters Pinky Shop,BW Pinky's Parlor Spark Catcher,,297,Spark Catcher,"Unlock Kear block at southeast of Shanty Swamp, purchase for 500 Bones"
Backwaters Pinky Shop,BW Pinky's Parlor Kear,,298,Kear,"Unlock Kear block at southeast of Shanty Swamp, purchase for 300 Bones"
Backwaters Pinky Shop Back,BW Pinky's Parlor Joule Box,HasLadder(),286,Joule Box,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, then grab Joule Box"
Backwaters Lower Swamp Fishing,BW Lower Shanty Swamp Bonestone Block,"Kear, Burrow, Swim",293,Bonestone Flakes,Open Kear block next to Fishing Hole
Backwaters Lower Swamp Station Entrance,BW Lower Shanty Swamp Evasion Powder,HasLadder(),294,Evasion Powder,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, bring to Lower Shanty Swamp, bring to southeast of room and climb"
Backwaters Lower Swamp Station Entrance,BW Lower Shanty Swamp Bonestone,HasLadder(),288,Bonestone Shard,"Unlock Kear block at southeast of Shanty Swamp, proceed to the west, unlock second Kear block, steal ladder, bring to Lower Shanty Swamp, bring to south moving platforms and climb"
Backwaters Lower Swamp Shanty Band,BW Lower Shanty Swamp Tumbling Tutu,"Burrow, Climb, Carry, Swim",291,Tumbling Tutu,"From Guard Room in Nox's Bayou, go west and carry bucket all the way back to the Shanty Band"
Backwaters Lucky's Lair,BW Lucky's Lair Kear,Burrow,292,Kear,"Burrow into Lucky's Lair and dig him up, talk to him to get Kear"
Backwaters Fishing Hole,BW Fishing Hole Fishing Rod,,300,Fishing Rod,"Talk to Irwin and watch him get eaten by Thalessian, pick up his rod"
,BW Fishing Hole Fleeper Head,Fishing Rod,299,Fleeper Head,Fish up in the Fishing Hole
,BW Fishing Hole Thalessian Pearl,"Fishing Raft OR (Fishing Rod + Tunneler's Codex, Swim)",302,Thalessian Pearl,"Using Fishing Rod and the Raft/Hollower's Codex, in the room east of the Fishing Hole grapple up to ledge enemy, then defeat Thalessian and return to Fishing Hole"
,BW Fishing Hole Gilded Rod,"Fishing Raft OR Fishing Rod + Tunneler's Codex, Swim)",301,Gilded Rod,Reward for catching all Fish
Kindlewood Overgrowth Bonfire Main,KW Overgrowth Bonfire Chest,,340,Bonestone Shard,Chest to the up and right of bonfire surrounded by enemies
Kindlewood Overgrowth Residence Basement,KW Residence Basement Chest,,441,Kear,"Enter room by throwing torch near top left corner of Residence. In basement, throw torch to break leaves across from moving platform to reach chest."
Kindlewood Overgrowth Madd House,KW Madd House,,,N/A,Defeat Madd House
,KW Madd House Draining Beastium,,348,Draining Beastium,2000 bones. Defeat Madd House boss to access shop
,KW Madd House Oozing Organ,,347,Oozing Organ,2000 bones. Defeat Madd House boss to access shop
,KW Madd House Voltaic Guard,,349,Voltaic Guard,2000 bones. Defeat Madd House boss to access shop
,KW Madd House Kear,,350,Kear,1000 bones. Defeat Madd House boss to access shop
Kindlewood Behind Madd House,KW Behind Madd House Chest,,339,Bonestone Crystal,"Smuggle a torch from a previous room, throw it at the leave pile in the top right corner above the Madd House and burrow under to reach chest."
Kindlewood Farm Crossing Pumpkin Patch,KW Train Station Gourdan,Oozing Organ,335,Bonestone Shard,"Burrow under Gourdan while Oozing Organ is equiped, then talk to them."
,KW Train Station Ledge Chest,Burrow,346,Bonestone Flakes,Drop down to chest from burrow tunnel above
Kindlewood Farm Crossing Shack,KW Farm Crossing Shack Chest,"Burrow, Reaching Sidearm",342,Kear,"Shack top left of train station room. Break chest with reaching sidearm, than burrow around back of building."
Kindlewood Wallowers Path,KW Wallower's Room Wallower's Gauntlets,"Kear, Burrow",344,Wallower's Gauntlets,"Burrow through tunnels to reach Kear block, trinket located directly under the Kear block."
