Region,Location,Items required,ID,Vanilla Item,Notes
,KW Wallower's Room Chest,"(Wallower's Gloves, Burrow) OR 5+ Tiles of Air Movement",345,Bonestone Flakes,"Located in the bottom left side of the room past many large gaps. Very difficult to cross without Wallower's Gauntlets, 5+ tiles of air movement may be an understatement since there is a tough corner to get around near the end. May need Pit Preserver or Keri's Wisp to make the corner without Gauntlets. "
Kindlewood Rail Tunnel,KW Rail Tunnel Vial Pouch,"Burrow, Carry",343,Vial Pouch,Reach rail tunnel throw breakable hidden pipe top right of tomato farm. Go into East Rail Tunnel and navigate through dark room to get to chest.
Mourner's Mile Knight's Rest Chest,MM Knight's Rest Chest,,311,Bonestone Flakes,Jump across large pits and moving platforms to grab chest
Mourner's Mile Statue Room Rope,MM Statue Room Bonestone,,315,Bonestone Flakes,Break grave next to rope from eastern room
Mourner's Mile Dark Shallow Tomb Dark,MM Shallow Tomb Kear,,305,Kear,Break grave in a long line at the top of the screen and go into hole to grab Kear 
Mourner's Mile Shallow Tomb,MM Ring Tomb Spike Spurs,,316,Spike Spurs,Break correct grave at top of screen and go into hole to grab Trinket
Mourner's Mile Spike Vault Upper,MM Spike Vault Vial Pouch,,312,Vial Pouch,Break second grave on the top row in the graveyard w/ the Lady and burrow to grab the Vial Pouch
Mourner's Mile Spike Vault Hidden Room,MM Spike Vault Hidden Room Kear,,310,Kear,"Burrow into bottom left grave in the graveyard w/ the Lady, then break the west wall"
Mourner's Mile Tower Tunnel Dark,MM Tower Tunnel Chest #1,Burrow,313,Bonestone Dust,"Burrow into passage in top right of room with Knight enemy, cross small gaps in dark room"
,MM Tower Tunnel Chest #2,Burrow,314,Bonestone Dust,"Burrow into passage in top right of room with Knight enemy, cross many gaps and passages in dark room"
Mourner's Mile Knight's Guard Hill,MM Knight's Stand Bonestone,,303,Bonestone Flakes,"After activating Spark Generator, proceed through stairs until you return to the room, then burrow up and dig up Bonestone on lower ledge"
Mourner's Mile Mina's Grave,MM Mina's Grave Chest,3 Sparks,309,Bonestone Flakes,"Make your way through a nightmare after laying in a grave, then proceed to wake up and claim reward"
,MM Mina's Grave Starving Beastium,3 Sparks,308,Starving Beastium,"Make your way through a nightmare after laying in a grave, then proceed to wake up and claim reward"
Mourner's Mile Spike Hell Sandfall,MM Spike Hell Chest,,355,Bonestone Dust,"Either with excellent air movement or Spike Spurs, get across spike layers to access chest"
Sandfalls Mining Outlook,SF Hobo Holdout Puffer Beak,Fishing Rod,82,Puffer Beak,"Right after exiting Mining Passage, fish up Bouncy Puffy from puddles and kill it"
Sandfalls Sifted Sands,SF Sifted Sands Snake Bomb Chest,"Burrow, Carry",326,Bonestone Flakes,"South West, Throw a bomb at red carts twice after going through the spike room"
,SF Sifted Sands Kear,CompleteSandfallsGenerator,319,Kear,"After activating the Spark Generator, return to cabin and kill Mite"
Sandfalls Pachinko ,SF Guiding Grains Niter Belt,,330,Niter Belt,"In the bomb pachinko room, destroy the middle minecart with the bomb and walk to the top of the board through the newly created opening"
,SF Guiding Grains Bonestone Left,,329,Bonestone Shard,"In the bomb pachinko room, destroy the left minecart with the bomb"
,SF Guiding Grains Bonestone Right,,328,Bonestone Shard,"In the bomb pachinko room, destroy the right minecart with the bomb"
Sandfalls Sifted Sands Hidden Cave,SF Hidden Cave Vial Pouch,"Burrow, Kear",323,Vial Pouch,"Burrow along southern moving platforms into tunell, open Kear block for Vial Pouch"
Sandfalls Ring Dive Parlor,SF Ring Dive Parlor Tunneler's Codex,Burrow,317,Tunneler's Codex,Earn 5000 points or more in the Ring Master's mini game.
Sandfalls Shifty Seclusion,SF Shifty Seclusion Chest,,327,Joule Box,Destroy the minecart into the Skull Mimic's cave with the nearby bomb. The chest in question is behind the Mimic.
Sandfalls Payload Passage Chest,SF Payload Passage Chest,"Burrow, Carry",332,Bonestone Crystal,"South West, Throw a bomb at a hidden passage entrance and burrow into the tunnel"
Sandfalls Miners Den,SF Miner's Den Major Miner,3 Vials && Burrow && (Spike Spurs || Carry/Throw),,N/A,"After destroying the dynamite carts blocking the mine, enter and defeat Major Miner"
Bone Beach Worms Back Generator,SF Shoreline Generator Activated,Burrow,,N/A,Activate the Spark Generator after defeating Mined Mind
Sandfalls Bone Junction,SF Bone Junction Chest,"Burrow, Carry",356,Bonestone Shard,"Carry Train Station bomb quickly to Bone Junction and blow up lower dynamite cart, then burrow through tunnel to reach chest"
Sandfalls Sandy Station,SF Train Vita's Shop,Burrow,333,Volatile Beastium,"Vita only appears by taking the train from Sandfalls to Backwaters, Purchase for 750 bones "
Sandfalls Sandwater Junction,BB Sandwater Junction Angler's Raft,2 tiles of air movement Or Swim,325,Angler's Raft,"From Payload Passage, climb down the ropes, then break open the chest"
Queensbury Crypt Old Graveyard Main,QC Old Graveyard Bonestone,,51,Bonestone Dust,Break a grave on a ledge east of the entrance to the room
Queensbury Crypt Old Graveyard Sodsby,QC Old Graveyard Kear,Burrow,52,Kear,"Dig up all the dirt piles in the room, then talk to Mr. Sodsby"
Queensbury Crypt Bonnet Tomb Inner,QC Bonnet Tomb Desperation Bonnet,"Burrow, Kear",57,Desperation Bonnet,"Walk behind fence in the big Graveyard, then open Kear block and burrow beneath the tomb"
Queensbury Crypt Broken Bridge,QC Broken Bridge Bonestone,,54,Bonestone Flakes,"To the right of dungeon entry, go across platforms"
Queensbury Crypt Pipe Room,QC Pipe Room Bonestone,,53,Bonestone Flakes,
Queensbury Crypt Castle Entry,QC Castle Entry Weapon Chest,,56,W&V,"In the first room of the castle, head to the upper floor of the southwest corner, then hit the wall behind the pot"
Queensbury Crypt Smelly Secret,QC Smelly Secret Kear,,64,Kear,"Break wall at southeast of big spike roller room, walk with moving platforms against arrow shooters and break chest"
Queensbury Crypt Hidden Tunnel,QC Hidden Tunnel Bonestone,Burrow,61,Bonestone Flakes,"At top of room with many coffins, burrow into tunnel"
Queensbury Crypt Statue Head Hall Entrance, QC Statue Head Hall Chest,"Burrow, Carry",63,Bonestone Flakes,"Jump over spikes and spike roller, jump attack chest to land safely"
Queensbury Crypt Mirror Room West,QC Mirror Room Chest,"Burrow, Carry",65,Bonestone Flakes,"Burrow into northeast passage, destroy chest"
,QC Mirror Room Stolenoid,"Burrow, Carry",66,Stolenoid,"Burrow into northwest passage, purchase for 600 Bones"
,QC Mirror Room Kear,"Burrow, Carry",67,Kear,"Burrow into northwest passage, purchase for 300 Bones"
Queensbury Crypt Putrid Place,QC Putrid Place Bonestone,"Burrow, Carry",62,Bonestone Dust,"Make a clockwise loop from central statue room, break grave and continue along ledge path, jump to grab Bonestone"
,QC Putrid Place Tombstone,"Burrow, Carry, Fishing Rod",68,Tombstone,Fish up Ghost Fish and kill it
Queensbury Crypt Rancid Room,QC Rancid Room Fly Bait,"Burrow, Carry, 2 Vials",59,Fly Bait,"Find Midden in the 2 previous smelly rooms, then defeat them in a boss fight"
,QC Rancid Room Midden,"Burrow, Carry, 2 Vials",,N/A,"Find Midden in the 2 previous smelly rooms, then defeat them in a boss fight"
Queensbury Crypt Ancestral Chamber,QC Ancestral Chamber Health Rose,"Burrow, Carry",58,Health Rose,"Break wall in prior room, take head and bring it to room to start boss, defeat boss"
,QC Ancestral Chamber The Duchess,"Burrow, Carry",1018,N/A,"Break wall in prior room, take head and bring it to room to start boss, defeat boss"
Queensbury Crypt Royal Tomb,QC Royal Tomb Proto Spark,"Burrow, Carry, Climb, 2 Vials",60,Proto Spark,"On a side path, climb and jump across ropes avoiding spike roller, spikes, and arrows with The Duke, then after defeating The Duchess, seal him within her casket"
Queensbury Crypt Solemn Generator,QC Solemn Generator Activated,"Burrow, Carry",,N/A,Activate Spark Generator after defeating The Duchess
Nox's Bayou Boat Station,NB Boat Takeoff Shrimpter Tail,Fishing Rod,50,Shrimpter Tail,Fish up Shrimpter and kill it
Nox's Bayou Guard Room,NB Guard Room Twill Weave,,47,Twill Weave,"Swim through the deep water to reach rope, climb up and grab Trinket"
Nox's Bayou Lily Full Pump Room,NB First Flooder Chest,,39,Bonestone Shard,"Burrow into the flooder to fill the room with water, then break chest"
Nox's Bayou Shallow Pool,NB Shallow Pool Chest,,38,Bonestone Flakes,"Burrow into passage east of 2 boats, jump over pipe and break open chest"
Nox's Bayou Big Lagoon Dark,NB Lagoon Burrow Chest,,42,Kear,"Before flooding the Big Lagoon, break wood in northwest corner and burrow into dark room, get Kear at east end"
Nox's Bayou Big Lagoon East Side Room,NB Submerged Side Room Vascular Syrup,,40,Vascular Syrup,"After flooding the Big Lagoon, break wood in southeast corner and burrow into room to grab Trinket"
Nox's Bayou Swamp Shack,NB Swamp Shack Pit Preserver,,48,Pit Preserver,"After flooding the Big Lagoon, swim up to shack at north of screen, purchase for 1000 Bones"
,NB Swamp Shack Kear,,49,Kear,"After flooding the Big Lagoon, swim up to shack at north of screen, purchase for 300 Bones"
,NB Swamp Shack Blastrike Maul,"Has(""Nox's Bayou Swamp Shack Kear""",45,Blastrike Maul,"After flooding the Big Lagoon, swim up to shack at north of screen, open Kear block to claim Blastrike Maul"
Nox's Bayou Moonlit Path,NB Moonlit Path Chest,,43,Bonestone Flakes,"Burrow into passage at southwest of Big Lagoon, then go south to get chest"
Nox's Bayou Moonlit Arena,NB Moonlit Mosh Mock Moon,,N/A,N/A,"After heading north on Moonlit Path, kill Mock Moon"
Nox's Bayou Moonlit Mirror,NB Moonlit Hideaway Iron Lung,,37,Iron Lung,"After beating Mock Moon, open Trinket chest in north room w/ mirror"
Nox's Bayou Thick Plant Pond Cave,NB Plant Pond Chest,,35,Bonestone Shard,"In shallow water room with 1 plant, hop off ledges and burrow into eastern passage"
Nox's Bayou Twin Thicket,NB Twin Thicket Chest,,36,Bonestone Flakes,"Can't miss it, northeast corner of the room as soon as you enter"
Nox's Bayou Canopy Bridge Cave,NB Hidden Cave Chest,,44,Kear,"At bottom of tall room with moving platforms, take hidden stairs at southwest corner and break cave wall, grab chest"
Nox's Bayou Tainted Lair Grate Bridge,NB Grate Lake Chest,,41,Bonestone Shard,"After filling the northern room with water twice, enter and press button at east end of the room to release the chest"
Nox's Bayou Tainted Lair Arena,NB Tainted Depths Health Rose,Swim,34,Health Rose,"After proceeding through long horizontal river, defeat Nox's Beast"
,NB Tainted Depths Nox's Beast,Swim,N/A,N/A,"After proceeding through long horizontal river, defeat Nox's Beast"
Nox's Bayou Swampy Generator,NB Swampy Generator Activated,,N/A,N/A,"After defeating Nox's Beast, activate the generator"
Nox's Bayou Tainted Tunnel,NB Gutter Tunnel Chest,Burrow,46,Bonestone Flakes,Reach through shortcut from Septemburg
Septemburg Withered Farms Hills Maze,SB Launch Pad Secret Room #1 Chest,CanBounce(),91,Bonestone Shard,"In the previous room, find launch pad under a stump to access this room. "
Septemburg Withered Farms Secret Springs,SB Launch Pad Secret Room #2 Kear,CanBounce(),89,Kear,Find launch pad hidden under stump in top left of previous room to access this room. Let crow down from scarecrow at end of room and defeat him to receieve Kear.
Septemburg Withered Farms Kid Room 1,SB Kid Room Chest,Burrow,92,Bonestone Crystal,"Burrow in from the South. After talking to Kid, the Carving Man will burst out from the wall concealing this chest. "
Septemburg Hidden Mandrake Room,SB Hidden Mandrake Room Chest,CanJumpTiles(distance=2),93,Bonestone Shard,Go to East Cave to enter. 
Septemburg Tractor Chase,SB Hidden Crop Thresher Room Chest,"CanBurrow(), CanBounce()",90,Kear,Entrance wall is busted open by a Crop Thresher in the previous room.
Septemburg Rotten Barn Kid Room,SB Rotten Barn Chest,Burrow,94,Bonestone Shard,Chest in the same room Squealer is found in.
Septemburg Crow Town Tunnel Top,SB Below Crow Town Bridge Chest,"Has(""Septemburg Crow Town Tunnel Kear"")",98,Bonestone Chunk,Locked chest near Tunnel to bayou
Septemburg Crow Town Tunnel Top,SB Below Crow Town Gazeworm Eye,Fishing Rod,104,Gazeworm Eye,"Fish up Gazeworm. Note: Gazeworm can ALSO be caught in Kindlewood, in the pools by the Train Station / Tomato Farm."
Septemburg Crow Town,SB Crow Town Shop Repulsing Root,,102,Repulsing Root,Let Scarecrow down from post to access shop
Septemburg Crow Town,SB Crow Town Shop Kear,,103,Kear,Let Scarecrow down from post to access shop
Septemburg Farm House Roof,SB Crow Town Farmhouse Roof Chest,"Burrow, Carry/Throw",99,Guardian Casket,
Septemburg Tangled Woods Hidden Grove,SB Tangled Woods Hidden Grove Chest,Burrow,97,Kear,Accessible by breaking a stump at the bottom of the first Tangled Woods room
Septemburg Tangled Woods Kid Room,SB Galloway Room Chest,"Burrow, Float",100,Bonestone Shard,
Septemburg Stormwatch Wind,SB Stormwatch Way Chest,Burrow,101,Bonestone Shard,
Septemburg Carving Shack Arena,SB Carving Shack Health Rose,,95,Health Rose,Defeat The Carving Man
,SB The Carving Man,,,N/A,Defeat The Carving Man
Septemburg Windy Generator,SB Windy Generator Activated,"Float, Burrow",,N/A,"After defeating The Carving Man, activate the generator"
,SB Dark Deluxy ,"Burrow, Pipes",,N/A,"After activating Windy Generator, guide Deluxy through the Wastewater canals, then defeat Dark Deluxy."
,SB Dark Deluxy Spark Container,"Burrow, Pipes",353,Spark Container,
Septemburg Wastewater Canal Well Entrance,SB Wastewater Canal Spincer,Fishing Rod,108,Spincer Pincers,Fish up a Spincer in the Wastewater Canal
Septemburg Wastewater Canal Slime Room,SB Wastewater Canal Slime Room Chest,Burrow,106,Bonestone Crystal,
Septemburg Wastewater Canal Boxes,SB Wastewater Canal Box Room Chest,Burrow,105,Bonestone Crystal,
Septemburg Wastewater Canal Well Entrance,SB Wastewater Canal Well Entrance Chest,,107,Bonestone Dust,
Sandfalls Sandwater Junction,BB Sandwater Junction Goremaw Fang,"Burrow, Carry, Climb, Fishing Rod, 5 tiles of air movement",88,Goremaw Fang,"From Payload Passage, climb down the rope, then fish and kill the Goremaw"
Bone Beach Bone Rush Mine,BB Bone Rush Trail Furgus Tunnel Chest,,354,Bonestone Crystal,"After beating Major Miner, exit the cave southward, then break a wall behind Furgus and Burrow behind the Generator, smashing the chest"
Bone Beach Bone Rush Drop,BB Gold Grasp Bonestone,,71,Bonestone Flakes,Jump across the gaps and grab the gold handles until you reach the northeast corner and burrow
Bone Beach Bone Rush Conveyor Top,BB Large Conveyor Bonestone,CanBounce(),70,Bonestone Shard,"After crossing the large conveyor, head to the southern room and break a block to the west, then climb up the rope, kill the miner, and bounce on the rocks along the conveyor to cross the gap"
Bone Beach Worms Back Split,BB Split Room Chest,2 tiles of air movement ,78,Bonestone Flakes,Look for a gap that's 2 tiles wide in the southeast corner of a screen with Conveyor belts
Bone Beach Aquatic Conveyor,BB Aquatic Conveyor Chest,Burrow,73,Bonestone Shard,"In a room with many gold handles, go to the southwest corner and enter side room, cross conveyor, kill wall spitter, grab chest"
Bone Beach Brac's Tent,BB Brac's Tent Polyp Lamp,,80,Polyp Lamp,"Walk into tent, purchase for 1250 Bones"
,BB Brac's Tent Kear,,81,Kear,"Walk into tent, purchase for 750 Bones"
Bone Beach Secret Shoals,BB Secret Shoals Joule Syringe,CanSwim(),74,Joule Syringe,"From Mining Camp, burrow south through deep water, platform carefully to an island far south, then burrow the Joule Syringe from the ground"
Bone Beach Calcified Caves,BB Calcified Caverns Kear,,79,Kear,"From second ledge after first rope from bottom of Mining Camp, drop down and enter cave, hop down ledge to reach the chest next to 2 eyes"
Bone Beach Calcified Cage,BB Calcified Cage Bonestone,,76,Bonestone Shard,"Unlock door from westmost ledge after first rope, defeat three miners, break wall in the next room to free the Fiance and break another wall for Bonestone"
Bone Beach Submerged Handles,BB Submerged Handles Chest,Swim,77,Bonestone Shard,"Swim through a path on the east side of the beached beast, then in the adjacent room, swim to uncover silver handles in the water and eventually float over a ledge for the chest"
Bone Beach Pulsing Tract Moving Top,BB Pulsing Tract Bonestone,"Burrow, Float",86,Bonestone Flakes,"At top of room with green skull enemy, break eastern wall and carefully hop between moving platforms and gold handles, grab Bonestone"
Bone Beach Worms Back Chest,BB Worm's Back Battery Buster,CanBounce(),75,Battery Buster,"To the east of the Mirror hut, hop off a ledge and bounce in a straight line across purple stones to reach Battery Buster"
Bone Beach Worms Back Right,BB Worm's Spine Bonestone,Burrow,72,Bonestone Shard,"On long light wooden stretch after a burrow tunnel, dig up Bonestone"
Bone Beach Stomach Mine Lower,BB Stomach Mine Kear,"Burrow, Float",84,Kear,"In massive handles room, drop down pit in the southeast corner, then use purple stones to bounce to Kear"
Bone Beach Gut Depths Hidden,BB Moving Stairs Bonestone,"Burrow, Float",85,Bonestone Shard,"After a sublab in Gut Depths, ride a staircase to a eastern screen and use burrowing and silver handles to dig up Bonestone"
Bone Beach Gut Depths Dark,BB Gut Passage Chest,Burrow,87,Bonestone Shard,"Enter passage behind candle at 3x3 moving platforms at bottom of Gut Depths, carefully proceed through dark room, break teeth at bottom, carefully get past crushers, open chest"
Bone Beach Brain Alcove,BB Brain Alcove Health Rose,Burrow,83,Health Rose,"At end of the dungeon, defeat Mined Mind, and take Health Rose"
,BB Brain Alcove Mined Mind,Burrow,N/A,N/A,"At end of the dungeon, defeat Mined Mind"
Coltrane Peak Thorne Arena,CTP Fateful Cliff Thorne CTP Boss,Climb,N/A,N/A,"The first time you take the train to CTP, climb the ladder and defeat Thorne"
Coltrane Peak Station Tracks,CTP Frigid Station Missed Train Chest,,113,Bonestone Chunk,"Fix the train, get a ticket to anywhere, let the train go without you, go left and ride the rail"
Coltrane Peak Frozen Pass,CTP Frozen Pass Rope Chest,Climb,112,Bonestone Shard,Fall in the 3rd rightmost large pit and climb the rope
Coltrane Peak Gorge Ice Gauntlet,CTP Dead Man's Gorge Passage Trinket,,110,Burning Beastium,"In the room next to the room with an upside down train, Burrow in the passage at the end, then get to the end "
Coltrane Peak Train Tracks Secret,CTP Dead Man's Gorge Rail Kear,Burrow,111,Kear,Burrow in the ice to get below the rails and get to the passage located where the rails end
Coltrane Peak Frostbite Woods,CTP Frostbite Woods Blinking Glass,,114,Blinking Glass,Talk to Mirren and defeat her to get Blinking Glass
Coltrane Peak Mirren Room,CTP Frostbite Woods Mirren,,N/A,N/A,Talk to Mirren and defeat her
Coltrane Peak Rail Yard,CTP Rail Yard Purple Structure Chest,,118,Bonestone Crystal,Ride the rails up and left and get to the chest
Coltrane Peak Rail Yard,CTP Rail Yard Cliff Chest,,117,Bonestone Crystal,"Ride the rails up and right (Where the passenger spirit is), then fall off the cliff"
Coltrane Peak Rail Yard Chest,CTP Rail Yard Casket Chest,,119,Guardian Casket,"Ride the rails up and right (Where the passenger spirit is), Burrow below the rails, follow the path to the passage and follow the rooms until the end"
Coltrane Peak Frozen River,CTP Rail Yard Kear Room Fish,"Burrow, Fishing rod ",122,Fishicle Core,"Ride the rails to the upper leftmost corner of the room, use a kear and fish up Fishicle in the pond, then kill it"
Coltrane Peak Frozen River,CTP Rail Yard Kear Room Rupert Shop Trinket,Burrow,120,Watchful Eye,"Ride the rails to the upper leftmost corner of the room, use a kear, talk to ruppert and save him by burrowing him off the ice, then buy his trinket"
Coltrane Peak Frozen River,CTP Rail Yard Kear Room Rupert Shop Kear,Burrow,121,Kear,"Ride the rails to the upper leftmost corner of the room, use a kear, talk to ruppert and save him by burrowing him off the ice, then buy his kear"
Coltrane Peak Frozen Horror Arena,CTP Icebound Cavern Frozen Horror Boss,,N/A,N/A,Defeat Frozen Horror
Coltrane Peak Spiral Summit Secret,CTP Spiral Summit Kear,"Burrow, Climb",116,Kear,"In the first room with icepanels and moving wooden platforms, Break the wall in the upper leftmost corner"
Coltrane Peak Agnes Express Rear,CTP Agnes Express Bone Mimic,,123,Bonestone Chunk,"Entering Agnes Express, Break the left wall and kill the mimic"
Coltrane Peak Agnes Express Arena,CTP Maelstrom Locomotress Health Rose,,124,Health Rose,Defeat Locomotress Agnes and pick up Health Rose
,CTP Maelstrom Locomotress Agnes Boss,,N/A,N/A,Defeat Locomotress Agnes
Coltrane Peak Frozen Generator,CTP Frozen Generator Activated,,N/A,N/A,Activate the Spark Generator after defeating Locomotress Agnes
Astral Orrery Mirror's End,AO Mirror's End Beach Room Chest,"Red Tile Switch, Burrow",281,Bonestone Crystal,"Hit the Red Tile Switch by travelling to Mirror's End through the Bone Beach Mirror, then burrow under the Bone Beach mirror room from the West."
,AO Mirror's End Reckless Beastium,"3 Tiles of Air Movement, Carry",276,Reckless Beastium,"At the East side of Mirror's End, retrieve Dr. Naught's real brain behind 3 hidden walls to the north of him, and then throw it at him. "
,AO Mirror's End West Ledge Trinket Bag,"Has(""Astral Orrey Mirror Room Left Side Kear"") & ((Yellow & Burrow) | (red, green, yellow))",279,Trinket Bag,"On ledge behind kear block in far West of Mirror's Edge. Requires Yellow, Green, Blue, or Red Tile switches, as well as some amount between 1-5 tiles of air movement depending on how many switches are hit."
,AO Mirror's End Trunkstar Core,Fishing Rod,282,Trunkstar Core,Fish up Trunkstar from puddle in middle of Mirror's Edge.
Astral Orrery Mirror's End Blue Chest,AO Mirror's End Moving Platform Room Chest,,280,Bonestone Flakes,"On the ledge overlooking the moving platform room, accessible from the right of Queensbury mirror room in the screen below."
Astral Orrery Stellarium,AO Stellarium East Chest,"Has(""Astral Orrery Stellarium Kear"")",129,Battery Buster,East side of Stellarium. Can only be accessed after clearing Gravity Zone or Cog Chamber. Hop down from one of those two mirrors and open the Kear gate.
,AO Tubert Vial Salvo,,137,Vial Salvo,West side of Stellarium. Can only be accessed after clearing Mutant Lab. Hop down from that mirror and talk to Tubert to purchase from him.
,AO Tubert Vial Kear,Mirror,138,Kear,West side of Stellarium. Can only be accessed after clearing Mutant Lab. Hop down from that mirror and talk to Tubert to purchase from him.
Astral Orrery Gravity Zone,AO Gravity Zone Long Hallway Chest,2 tiles of air movement,133,Bonestone Shard,"After hitting the void portal switch, use void portals to jump over ledge on right side of screen and find chest behind breakable wall."
Astral Orrery Gravity Zone,AO Gravity Zone Secret Room #1 Kear,,134,Kear,"After hitting the Void Portal Switch, use void portals to jump east over the screen edge to access the secret room with this Kear."
Astral Orrery Gravity Zone,AO Gravity Zone Secret Room #2 Chest,Burrow,126,Bonestone Shard,"In the room with the Green Tile Switch, use void portals to jump south over the screen edge to access the secret room with this chest."
Astral Orrery Cog Chamber,AO Cog Chamber Secret Room #1 Chest,"Burrow, Carry",130,Bonestone Crystal,
Astral Orrery Cog Chamber,AO Cog Chamber Secret Room #1 Kear,"Burrow, Carry",135,Kear,
Astral Orrery Mutant Lab,AO Mutant Lab Secret Room #1 Chest,Burrow,131,Bonestone Shard,
Astral Orrery Mutant Lab,AO Mutant Lab Secret Room #2 Bridge Weaver,Burrow,132,Bridge Weaver,
Astral Orrery Hall of Scholars,AO Hall of Scholars Below Boss Chamber Bonestone,,126,Bonestone Shard,Drop down from the top right of the Hall of Scholars boss room above.
Astral Orrery Hall Of Scholars,AO Defeat Lumenarks,Burrow,N/A,N/A,Defeat Lumenarks
Astral Orrery Hall of Scholars End,AO Hall of Scholars Exit Chest,Burrow,136,Bonestone Shard,"Directly to the right of the exit mirror, in a chest behind a breakable wall."
Astral Orrery Sealed Archive Congealed Chamber,AO Sealed Archive Health Rose,,125,Health Rose,Defeat The Congealed
,AO Sealed Archive The Congealed,,N/A,N/A,Defeat The Congealed
Astral Orrery Starry Generator,AO Starry Generator Activated,,N/A,N/A,Activate the Spark Generator after defeating The Congealed
Radiant Manor Foyer Library,RM Foyer Library Chest,2 tiles of air movement,275,Bonestone Dust,Break bookshelf and hop across to chest
Radiant Manor Mimic Chamber,RM Mimic Chamber Dodging Pendulum,Burrow,140,Dodging Pendulum,Kill the stupid Trinket Mimic
Radiant Manor Rafters,RM Rafters Chest,Burrow,143,Bonestone Chunk,"At northeast corner, break wall to grab chest"
Radiant Manor Servant's Quarters,RM Servant's Quarters Spring Heels,Burrow,145,Spring Heels,Purchase for 2000 Bones
Radiant Manor Servant's Arena,RM Furgus' Chamber,,N/A,N/A,Defeat Furgus
Radiant Manor Ballroom Balcony East,RM Ballroom Chest,,144,Bonestone Chunk,"After killing Hulk Guard, activate 2nd switch and destroy bushes to the east, hop down ledge and grab chest"
Radiant Manor Balcony East Chamber,RM Tile Chamber Chest,2 tiles of air movement,142,Bonestone Chunk,Quickly platform why arrow shooter turns tiles on and off to claim chest
Radiant Manor Meowstro's Chamber,RM Meowstro's Chamber Bonestone,"Burrow, Swim, Carry, Float, Climb, Kear",139,Bonestone Chunk,"Save the 8 Meowstro Kittens throughout all of Radiant Manor, then tune them to have them perform their song"
Radiant Manor Study,RM Study Lionel,,N/A,N/A,Defeat Lionel